CR_ID,CR_Title,Linked_Jira_ID,Linked_Confluence_ID,CR_State,CR_Requested_By,CR_Team_Assignment_Group,CR_Assigned_To_User,CR_Impacted_Environment,CR_Impacted_Departments,CR_Type,CR_Category,CR_Risk,CR_Risk_Percentage,CR_Lead_Time_Days,CR_Conflict_Status,CR_Description,CR_Start_Date,CR_End_Date,CR_Implementation_Plan_Summary,CR_Backout_Plan_Summary,CR_Updated_By_User_From_CSV_Example,CR_Created_At_From_CSV_Example
CR-FS-001,Day building young threat,BUG-050,,New,Alison_S,Team Phoenix,Matthew_D,Staging,Payments;Core API,Standard,Security,High,,52,Resolved,whiteboard B2B web-readiness iterate killer portals,2023-12-15,2023-12-27,Somebody his someone measure continue thing eye.,Standard rollback,James_S,2023-12-25
CR-FS-002,Have even camera today along,,,New,James_S,Team Phoenix,David_T,N/A,Core API;Security,Emergency,Enhancement,Low,45,73,Conflict Detected,embrace bricks-and-clicks action-items empower mission-critical e-markets,2023-02-16,2023-03-09,Details in Confluence,Hold this unit discussion family.,Vickie_R,2023-02-23
CR-FS-003,Feel very spring himself,NOVA-068,,New,Frances_B,Team Phoenix,Doris_R,Development,,Standard,BugFix,Medium,16,7,Conflict Detected,e-enable seamless paradigms grow bleeding-edge paradigms,2023-12-08,2024-01-02,Current hair participant tonight open accept manager.,However technology state model.,David_T,2023-12-09
CR-FS-003,Feel very spring himself,,,Assess,Jessica_D,Team Phoenix,Jennifer_W,N/A,Marketing,Standard,Infrastructure,High,,72,No Conflict,deploy user-centric markets incentivize back-end technologies,2023-12-08,2024-01-10,Either sort yet catch.,Standard rollback,Doris_R,2023-12-20
CR-FS-003,Feel very spring himself,NOVA-013,,Authorise,Vickie_R,Team Phoenix,Vickie_R,N/A,Mobile Banking;Security,Normal,Infrastructure,Medium,,27,No Conflict,engineer extensible channels engage e-business convergence,2023-12-08,2024-01-02,Gas process adult student follow catch strategy late.,Standard rollback,Jessica_D,2023-12-24
CR-FS-004,Rich network detail learn owner win,,CONF-PN-008,New,Dawn_M,Team Phoenix,Dawn_M,Production,Security;Payments,Standard,Enhancement,Low,,40,Resolved,utilize distributed paradigms implement bleeding-edge supply-chains,2023-04-06,2023-04-20,Call economy through very door.,Half baby garden level.,Linda_C,2023-04-17
CR-FS-005,Use his democratic concern drop,,CONF-SEC-003,New,Jason_G,Team Phoenix,Matthew_D,N/A,Mobile Banking;Security,Emergency,Infrastructure,Medium,,60,Conflict Detected,maximize robust ROI enable value-added vortals,2023-05-14,2023-06-10,Than oil research step agent stay image future.,Standard rollback,Frances_B,2023-05-28
CR-FS-005,Use his democratic concern drop,,,Assess,Phillip_R,Team Phoenix,Alison_S,Development,Payments;Security;Marketing,Standard,Communication,Medium,49,73,Conflict Detected,integrate e-business experiences syndicate vertical partnerships,2023-05-14,2023-06-13,Details in Confluence,Continue different herself professional meeting.,Linda_C,2023-06-12
CR-FS-006,Stand provide clearly,,CONF-PN-016,New,Dawn_M,Team Phoenix,Joe_T,Development,,Normal,Maintenance,Medium,94,65,Resolved,iterate cross-platform info-mediaries optimize global partnerships,2024-01-04,2024-01-23,Details in Confluence,Standard rollback,Justin_J,2024-01-18
CR-FS-007,Read analysis form deal any much,NOVA-024,,New,Justin_J,Team Phoenix,Matthew_D,Development,Marketing,Standard,Deployment,Low,87,47,Conflict Detected,brand collaborative architectures maximize transparent methodologies,2023-10-03,2023-10-21,Details in Confluence,Standard rollback,Linda_C,2023-10-10
CR-FS-007,Read analysis form deal any much,,,Assess,Phillip_R,Team Phoenix,Frances_B,N/A,Mobile Banking;Security,Standard,Enhancement,Low,79,39,Resolved,matrix strategic systems engage ubiquitous bandwidth,2023-10-03,2023-10-26,Details in Confluence,Produce throw know television.,Vickie_R,2023-10-11
CR-FS-007,Read analysis form deal any much,,,Authorise,Bradley_S,Team Phoenix,Alison_S,Production,Mobile Banking;Core API,Standard,New Feature,Medium,,41,Resolved,incentivize front-end web-readiness strategize customized metrics,2023-10-03,2023-10-21,Success remain money later form evening number answer.,Standard rollback,Maria_E,2023-10-13
CR-FS-008,Level direction join human church crime,,CONF-SEC-007,New,Maria_E,Team Griffin,Matthew_D,Development,Security;Mobile Banking;Core API,Emergency,Audit,Low,15,3,Resolved,strategize killer e-services implement customized systems,2023-01-22,2023-02-17,Truth foot price rock bit hit.,Knowledge concern she feel.,Doris_R,2023-02-17
CR-FS-008,Level direction join human church crime,,,Assess,Frances_B,Team Griffin,Matthew_D,Development,,Emergency,New Feature,High,,28,Resolved,exploit innovative e-business extend enterprise info-mediaries,2023-01-22,2023-03-30,Girl less certainly thank network.,Seem industry interview.,Alison_S,2023-02-26
CR-FS-009,Morning white eight him expect other,,CONF-SEC-022,New,James_S,Team Griffin,Matthew_D,N/A,Security,Emergency,Security,High,48,21,Resolved,synthesize granular ROI syndicate integrated communities,2023-09-11,2023-09-14,Follow thing floor city sound name defense.,Prepare less hope.,Jessica_D,2023-09-11
CR-FS-010,Everybody law world memory,,CONF-ARCH-005,New,Alison_S,Team Griffin,Frances_B,Staging,Mobile Banking;Marketing;Security,Normal,Enhancement,High,38,53,No Conflict,embrace plug-and-play ROI maximize scalable functionalities,2023-01-15,2023-02-03,Another hot against toward at what.,Standard rollback,Linda_C,2023-01-22
CR-FS-010,Everybody law world memory,NOVA-042,,Assess,Joe_T,Team Griffin,Justin_J,N/A,Core API;Mobile Banking;Marketing,Standard,Security,Low,27,79,Conflict Detected,strategize clicks-and-mortar infrastructures empower dynamic ROI,2023-01-15,2023-02-26,Support almost real.,Foreign beyond body past tend.,Nicolas_O,2023-01-23
CR-FS-010,Everybody law world memory,NOVA-041,,Authorise,Bradley_S,Team Griffin,Linda_C,Staging,Mobile Banking;Marketing,Normal,BugFix,High,59,80,No Conflict,matrix clicks-and-mortar e-services transform ubiquitous channels,2023-01-15,2023-03-18,Mind city heavy house moment people star system.,Standard rollback,Doris_R,2023-02-11
CR-FS-011,Time big growth figure,,,New,John_H,Team Griffin,Lori_S,Development,Core API,Standard,New Feature,High,,11,Resolved,morph efficient applications incubate mission-critical e-tailers,2024-02-14,2024-03-04,Source shake guy no month you.,Standard rollback,Maria_E,2024-02-22
CR-FS-011,Time big growth figure,NOVA-009,,Assess,Jennifer_W,Team Griffin,James_S,Staging,Marketing,Standard,Security,High,31,39,Conflict Detected,enable front-end channels grow 24/365 ROI,2024-02-14,2024-03-07,Details in Confluence,Short game hospital these watch.,Doris_R,2024-02-23
