JIRA_ID,JIRA_Type,JIRA_Priority,JIRA_Components,JIRA_Labels,JIRA_Sprint,JIRA_App_Name,JIRA_Reporter,JIRA_Assignee,JIRA_Start_Date,JIRA_End_Date,JIRA_Status,JIRA_Title,JIRA_Description,JIRA_Release_Fix_Version,JIRA_Team,JIRA_Confidence,JIRA_Created_Date,JIRA_Updated_Date,JIRA_Effort_Story_Points,CR_ID_Link_From_CSV_Example,JIRA_Linked_Issue_ID_Target,JIRA_Link_Type,JIRA_Watcher_User
NOVA-001,Business Outcome,Major,API,security;ProjectNova;ux,Sprint 1 - Nova,CoreBankingApp_Wallet,Dawn_M,Lori_S,2023-05-07,2023-05-09,Pending,Revolutionize revolutionary eyeballs,Reason thought real ahead finish recently black fine from actually sometimes treatment.,v0.2.1,Team Griffin,,2023-05-07,2023-05-08,21,,,,
NOVA-002,Bug,Medium,Database;NFC,tech-debt;ux,Sprint 1 - Infra,,Phillip_R,Jennifer_W,2024-02-13,2024-03-24,Review,Transform proactive platforms,Short finally build the among call ask social dream tonight degree.,v1.1.2-beta,Team Phoenix,61,2024-02-12,2024-03-14,,,,,
NOVA-002,Bug,Medium,Database;NFC,tech-debt;ux,Sprint 1 - Infra,,Phillip_R,Jennifer_W,2024-02-13,2024-03-24,Review,Transform proactive platforms,Short finally build the among call ask social dream tonight degree.,v1.1.2-beta,Team Phoenix,61,2024-02-12,2024-03-14,,,NOVA-001,sub-task of,
NOVA-002,Bug,Medium,Database;NFC,tech-debt;ux,Sprint 1 - Infra,,Phillip_R,Jennifer_W,2024-02-13,2024-03-24,Review,Transform proactive platforms,Short finally build the among call ask social dream tonight degree.,v1.1.2-beta,Team Phoenix,61,2024-02-12,2024-03-14,,,,,Doris_R
NOVA-002,Bug,Medium,Database;NFC,tech-debt;ux,Sprint 1 - Infra,,Phillip_R,Jennifer_W,2024-02-13,2024-03-24,Review,Transform proactive platforms,Short finally build the among call ask social dream tonight degree.,v1.1.2-beta,Team Phoenix,61,2024-02-12,2024-03-14,,,,,Jennifer_W
NOVA-002,Bug,Medium,Database;NFC,tech-debt;ux,Sprint 1 - Infra,,Phillip_R,Jennifer_W,2024-02-13,2024-03-24,Review,Transform proactive platforms,Short finally build the among call ask social dream tonight degree.,v1.1.2-beta,Team Phoenix,61,2024-02-12,2024-03-14,,,,,David_T
NOVA-003,Task,Minor,NFC;Payments,ux;performance,Sprint 2 - Nova,MobileApp_Global,James_S,Maria_E,2023-04-14,2023-05-13,Review,Generate customized infrastructures,Respond country both figure take nature region degree prepare deep power.,v0.9.2,Team Griffin,94,2023-04-12,2023-04-28,13,,,,
NOVA-003,Task,Minor,NFC;Payments,ux;performance,Sprint 2 - Nova,MobileApp_Global,James_S,Maria_E,2023-04-14,2023-05-13,Review,Generate customized infrastructures,Respond country both figure take nature region degree prepare deep power.,v0.9.2,Team Griffin,94,2023-04-12,2023-04-28,13,,,,John_H
NOVA-004,Business Outcome,High,API,,Sprint 5 - Nova,,Maria_E,Nicolas_O,2024-03-08,2024-03-09,Release,Productize innovative paradigms,Draw across interesting bad box family foreign improve.,v1.3.1-beta,Team Hydra,,2024-03-04,2024-03-06,1,,,,
NOVA-004,Business Outcome,High,API,,Sprint 5 - Nova,,Maria_E,Nicolas_O,2024-03-08,2024-03-09,Release,Productize innovative paradigms,Draw across interesting bad box family foreign improve.,v1.3.1-beta,Team Hydra,,2024-03-04,2024-03-06,1,,,,James_S
NOVA-004,Business Outcome,High,API,,Sprint 5 - Nova,,Maria_E,Nicolas_O,2024-03-08,2024-03-09,Release,Productize innovative paradigms,Draw across interesting bad box family foreign improve.,v1.3.1-beta,Team Hydra,,2024-03-04,2024-03-06,1,,,,David_T
PERF-005,Project,Low,Database;Auth,,Sprint 3 - Infra,CoreBankingApp_Wallet,Linda_C,Frances_B,2024-03-12,2024-03-14,Closed,Maximize open-source info-mediaries,Friend country body school keep second range forward crime environment country.,v2.5.1-beta,Team Hydra,,2024-03-11,2024-03-13,21,,,,
PERF-005,Project,Low,Database;Auth,,Sprint 3 - Infra,CoreBankingApp_Wallet,Linda_C,Frances_B,2024-03-12,2024-03-14,Closed,Maximize open-source info-mediaries,Friend country body school keep second range forward crime environment country.,v2.5.1-beta,Team Hydra,,2024-03-11,2024-03-13,21,,,,Vickie_R
NOVA-006,Story,High,API;Database,,Sprint 5 - Infra,,Maria_E,Jennifer_W,2023-12-30,2024-01-02,Development,Synthesize magnetic channels,Your region possible ahead hour clearly there minute.,v1.8.0,Team Phoenix,,2023-12-23,2023-12-27,8,,,,
