CTASK_ID,CR_ID,CTASK_Assigned_To_User,CTASK_Start_Time,CTASK_End_Time,CTASK_Description
CTASK001,CR-FS-022,Doris_R,2025-04-21 13:53,2025-04-23 10:53,User-centric leadingedge knowledge user
CTASK002,CR-FS-014,Frances_B,2025-05-14 00:40,2025-05-15 17:40,Polarized high-level array
CTASK003,CR-FS-018,Linda_C,2025-04-29 08:39,2025-05-01 01:39,Compatible encompassing project
CTASK004,CR-FS-012,Frances_B,2025-05-01 22:09,2025-05-02 20:09,Switchable leadingedge challenge
CTASK005,CR-FS-020,John_H,2025-05-01 05:12,2025-05-01 13:12,Integrated upward-trending collaboration
CTASK006,CR-FS-022,Alison_S,2025-05-01 16:39,2025-05-03 15:39,Networked logistical knowledge user
CTASK007,CR-FS-008,Bradley_S,2025-05-08 04:22,2025-05-08 12:22,Focused disintermediate software
CTASK008,CR-FS-010,Jennifer_W,2025-04-11 03:51,2025-04-11 20:51,Front-line dynamic productivity
CTASK009,CR-FS-020,David_T,2025-04-10 03:35,2025-04-11 15:35,Business-focused mission-critical access
CTASK010,CR-FS-020,Alison_S,2025-04-09 10:50,2025-04-10 02:50,User-friendly tangible system engine
CTASK011,CR-FS-012,Jessica_D,2025-04-12 16:55,2025-04-13 23:55,Mandatory background Graphic Interface
CTASK012,CR-FS-008,David_T,2025-04-03 23:29,2025-04-05 13:29,Centralized global website
CTASK013,CR-FS-018,Linda_C,2025-05-30 11:09,2025-05-31 06:09,Ameliorated uniform leverage
CTASK014,CR-FS-022,Phillip_R,2025-05-29 19:45,2025-05-31 03:45,Inverse homogeneous function
CTASK015,CR-FS-004,Frances_B,2025-05-22 00:15,2025-05-23 05:15,Re-contextualized demand-driven hardware
CTASK016,CR-FS-018,Linda_C,2025-05-28 19:45,2025-05-29 10:45,Operative background migration
CTASK017,CR-FS-001,Jason_G,2025-04-23 20:16,2025-04-24 15:16,Synergistic 5thgeneration emulation
CTASK018,CR-FS-017,Jennifer_W,2025-05-11 08:55,2025-05-13 00:55,De-engineered transitional software
