Confluence_ID,Confluence_Title,Confluence_Owner_Member,Confluence_Last_Edited_By,Confluence_Space,Confluence_Team_Association,Confluence_Content_Summary,Confluence_Linked_Jira_ID,Confluence_Linked_CR_ID,Confluence_Parent_Page_ID,Confluence_Created_Date,Confluence_Last_Modified_Date
CONF-SEC-001,Cloned 5thgeneration implementation Documentation,John_H,Alison_S,Team Hydra Compliance,Marketing,Exactly home bank. Local win specific happen.,NOVA-003;NOVA-024,,,2023-06-17,2024-02-13
CONF-SEC-002,Quality-focused zero administration access Documentation,Phillip_R,Maria_E,Team Phoenix KB,Cross-functional,Article body hospital than. Anything kid dog.,,,CONF-SEC-001,2024-04-09,2024-06-12
CONF-SEC-003,Polarized optimizing throughput Documentation,Maria_E,Dawn_M,General Fintech Policies,Operations,Above bank who plant. Case more push west read.,NOVA-052,,,2023-08-17,2024-03-20
CONF-ARCH-004,Right-sized impactful productivity Documentation,Bradley_S,Doris_R,Project Nova,Cross-functional,Into shoulder from fall town care.,PERF-015;LOG-022;PERF-005;NOVA-062,,,2023-01-28,2023-06-16
CONF-ARCH-005,Visionary 5thgeneration workforce Documentation,Nicolas_O,Maria_E,Team Hydra Compliance,Team Griffin,Business style morning way goal cut lead.,,,CONF-ARCH-004,2023-12-13,2024-06-07
CONF-SEC-006,Operative uniform leverage Documentation,Linda_C,Jessica_D,Team Phoenix KB,Cross-functional,Worker firm cultural contain another game off husband.,NOVA-035,,,2023-05-25,2023-12-20
CONF-SEC-007,Quality-focused user-facing project Documentation,Nicolas_O,Doris_R,Team Griffin Design,Marketing,Agreement add argue manager.,,,,2024-04-09,2024-05-11
CONF-PN-008,Distributed motivating framework Documentation,Jessica_D,Bradley_S,Team Griffin Design,Team Hydra,Time risk close fly reduce. Play sing college network effect education.,NOVA-011;NOVA-059,,,2023-04-08,2024-06-10
CONF-ARCH-009,Intuitive needs-based moratorium Documentation,Phillip_R,Justin_J,Team Griffin Design,Operations,Modern share study speak indeed poor. Central require happen compare social.,NOVA-056,,,2023-11-26,2024-01-13
CONF-PN-010,Enterprise-wide maximized definition Documentation,Linda_C,John_H,Team Phoenix KB,Team Hydra,Couple watch floor difference foot know them. Quickly become thing arm.,,,,2024-03-28,2024-06-05
CONF-SEC-011,Persevering asymmetric utilization Documentation,Matthew_D,Maria_E,Team Hydra Compliance,Marketing,Remember work according term maybe dinner. Serve ability source general both local stuff.,NOVA-060;NOVA-008;NOVA-023;NOVA-058,,,2024-02-04,2024-04-20
CONF-SEC-012,Front-line mission-critical hub Documentation,Phillip_R,Doris_R,Team Hydra Compliance,Team Griffin,Follow serve history house. Least Republican source bag day less trade.,NOVA-055,,,2024-01-08,2024-01-30
CONF-KB-013,Cross-platform global secured line Documentation,Joe_T,Jason_G,Team Griffin Design,Team Phoenix,Music customer measure center eye success. Deal prove it reduce trouble remember.,NOVA-070;NOVA-037,,,2023-01-10,2024-02-24
CONF-SEC-014,Persistent bifurcated standardization Documentation,Maria_E,Doris_R,Team Griffin Design,Marketing,Another tax chair thus.,NOVA-070,,,2023-07-19,2024-06-01
CONF-ARCH-015,Streamlined solution-oriented data-warehouse Documentation,David_T,Frances_B,Team Phoenix KB,Marketing,Benefit role and least side beautiful. Five yet all radio people piece north.,NOVA-019;NOVA-026,,,2023-03-15,2023-08-14
CONF-PN-016,Open-source clear-thinking groupware Documentation,Matthew_D,Phillip_R,Team Hydra Compliance,Team Hydra,Just return buy mouth feeling reality.,,,,2024-01-03,2024-05-27
CONF-ARCH-017,Monitored context-sensitive structure Documentation,Maria_E,Maria_E,Team Griffin Design,Marketing,Pretty sing threat.,NOVA-002;NOVA-045;NOVA-064,,,2024-03-27,2024-06-14
CONF-SEC-018,Switchable foreground artificial intelligence Documentation,Bradley_S,Bradley_S,Project Nova,Marketing,Unit grow price ability administration near tend. Light safe by could capital choice long guess.,NOVA-034;NOVA-054;NOVA-025,,,2024-03-16,2024-05-17
CONF-SEC-019,Focused 6thgeneration synergy Documentation,Jason_G,Doris_R,Project Nova,Team Phoenix,Could determine image talk magazine option often. Often religious remember good fund only age.,LOG-014;NOVA-063,,CONF-PN-010,2023-05-01,2024-05-29
CONF-PN-020,Automated object-oriented knowledgebase Documentation,Frances_B,Linda_C,Team Phoenix KB,Cross-functional,It throw property build. Rest plan add family usually protect according.,,,,2024-02-19,2024-04-16
CONF-SEC-021,Vision-oriented full-range flexibility Documentation,Joe_T,Nicolas_O,Team Hydra Compliance,Cross-functional,Picture thing policy subject treatment international end.,NOVA-029;NOVA-040;NOVA-008,,,2023-02-26,2023-05-01
CONF-SEC-022,Decentralized transitional budgetary management Documentation,Joe_T,Matthew_D,Team Phoenix KB,Operations,Summer enjoy husband clearly discussion up time.,,,,2024-04-10,2024-06-16
CONF-LOG-023,Function-based non-volatile installation Documentation,Alison_S,Joe_T,Team Hydra Compliance,Cross-functional,Nearly person serve difficult whole shoulder. Address reach happen safe.,NOVA-007,,,2023-08-07,2024-05-10
